hours_played_sitting,number_of_tables,vluntarily_put_money_into_pot,pot_preflop_raising,went_to_showdown,player_country,player_pro_y_n,player_prev_location,EVENT_TIMESTAMP,EVENT_LABEL
32.0,609.0,28.0,31.0,146.0,CAN,Yes,Orlando,2023-07-24 08:50:51,legit
28.0,433.0,44.0,43.0,248.0,CAN,No,Tampa,2023-07-24 08:50:51,legit
12.0,404.0,35.0,72.0,340.0,CAN,Yes,Tampa,2023-07-24 08:51:31,legit
27.0,415.0,45.0,49.0,254.0,CAN,No,Orlando,2023-07-24 08:51:06,legit
18.0,459.0,22.0,72.0,386.0,RUS,Yes,Key West,2023-07-24 08:50:47,legit
29.0,579.0,30.0,69.0,189.0,RUS,Yes,Key West,2023-07-24 08:50:51,fraud
30.0,491.0,38.0,29.0,220.0,CAN,Yes,Orlando,2023-07-24 08:51:12,legit
30.0,348.0,55.0,68.0,266.0,CAN,No,Orlando,2023-07-24 08:51:08,fraud
25.0,496.0,34.0,39.0,246.0,CAN,Yes,Orlando,2023-07-24 08:51:31,legit
21.0,504.0,31.0,66.0,397.0,RUS,No,Key West,2023-07-24 08:50:59,legit
31.0,413.0,41.0,55.0,216.0,CAN,Yes,Orlando,2023-07-24 08:51:32,legit
32.0,584.0,42.0,82.0,256.0,RUS,Yes,Tampa,2023-07-24 08:50:48,fraud
25.0,345.0,50.0,57.0,349.0,RUS,Yes,Tampa,2023-07-24 08:51:11,legit
26.0,383.0,46.0,50.0,267.0,CAN,Yes,Orlando,2023-07-24 08:50:55,legit
18.0,469.0,32.0,40.0,201.0,RUS,No,Tampa,2023-07-24 08:50:41,fraud
17.0,372.0,31.0,54.0,438.0,RUS,Yes,Tampa,2023-07-24 08:51:09,legit
27.0,493.0,35.0,46.0,187.0,CAN,Yes,Orlando,2023-07-24 08:51:24,legit
21.0,720.0,43.0,50.0,101.0,RUS,No,Key West,2023-07-24 08:51:23,fraud
31.0,578.0,28.0,30.0,227.0,CAN,Yes,Tampa,2023-07-24 08:51:30,legit
30.0,488.0,43.0,57.0,198.0,CAN,No,Tampa,2023-07-24 08:51:05,legit
15.0,433.0,40.0,56.0,349.0,RUS,Yes,Tampa,2023-07-24 08:50:44,legit
13.0,580.0,31.0,62.0,388.0,RUS,Yes,Tampa,2023-07-24 08:51:04,legit
21.0,569.0,27.0,69.0,436.0,USA,No,Key West,2023-07-24 08:50:46,legit
29.0,428.0,43.0,49.0,247.0,CAN,Yes,Orlando,2023-07-24 08:51:36,legit
15.0,551.0,46.0,74.0,327.0,RUS,Yes,Tampa,2023-07-24 08:50:45,legit
28.0,406.0,46.0,50.0,275.0,CAN,No,Orlando,2023-07-24 08:51:21,legit
20.0,529.0,32.0,61.0,376.0,RUS,No,Key West,2023-07-24 08:51:33,legit
23.0,582.0,37.0,66.0,364.0,RUS,Yes,Tampa,2023-07-24 08:50:38,legit
28.0,503.0,46.0,58.0,340.0,RUS,No,Tampa,2023-07-24 08:51:22,legit
33.0,483.0,42.0,55.0,172.0,CAN,No,Orlando,2023-07-24 08:50:53,legit
31.0,432.0,33.0,70.0,192.0,RUS,Yes,Tampa,2023-07-24 08:50:55,fraud
27.0,491.0,37.0,50.0,239.0,CAN,No,Orlando,2023-07-24 08:51:34,legit
28.0,469.0,38.0,39.0,236.0,CAN,Yes,Orlando,2023-07-24 08:50:46,legit
30.0,629.0,30.0,15.0,256.0,UK,Yes,Tampa,2023-07-24 08:50:45,legit
28.0,382.0,45.0,48.0,276.0,CAN,Yes,Orlando,2023-07-24 08:50:37,legit
23.0,422.0,37.0,49.0,380.0,RUS,Yes,Tampa,2023-07-24 08:51:23,legit
31.0,510.0,30.0,29.0,224.0,RUS,Yes,Jacksonville,2023-07-24 08:51:15,legit
29.0,592.0,30.0,40.0,207.0,CAN,No,Orlando,2023-07-24 08:51:02,legit
23.0,389.0,46.0,54.0,267.0,CAN,No,Orlando,2023-07-24 08:51:13,legit
21.0,467.0,40.0,56.0,342.0,RUS,Yes,Tampa,2023-07-24 08:50:47,legit
23.0,421.0,48.0,57.0,348.0,RUS,Yes,Tampa,2023-07-24 08:51:14,legit
30.0,595.0,28.0,26.0,189.0,CAN,Yes,Tampa,2023-07-24 08:50:49,legit
21.0,548.0,41.0,70.0,332.0,RUS,Yes,Tampa,2023-07-24 08:51:18,legit
23.0,333.0,47.0,46.0,307.0,CAN,Yes,Jacksonville,2023-07-24 08:51:05,legit
21.0,524.0,48.0,60.0,286.0,CAN,Yes,Key West,2023-07-24 08:51:16,legit
22.0,494.0,43.0,61.0,366.0,RUS,Yes,Tampa,2023-07-24 08:51:37,legit
33.0,553.0,35.0,24.0,179.0,UK,Yes,Tampa,2023-07-24 08:51:26,legit
34.0,532.0,38.0,38.0,176.0,CAN,No,Tampa,2023-07-24 08:51:03,legit
18.0,510.0,33.0,68.0,360.0,RUS,Yes,Tampa,2023-07-24 08:51:14,legit
22.0,496.0,27.0,63.0,370.0,RUS,No,Key West,2023-07-24 08:50:50,legit
33.0,532.0,34.0,27.0,231.0,CAN,Yes,Orlando,2023-07-24 08:50:44,legit
18.0,536.0,35.0,76.0,343.0,RUS,Yes,Key West,2023-07-24 08:50:38,legit
27.0,400.0,47.0,41.0,260.0,UK,No,Orlando,2023-07-24 08:51:28,legit
29.0,411.0,45.0,60.0,247.0,CAN,No,Orlando,2023-07-24 08:51:08,legit
29.0,576.0,32.0,42.0,152.0,UK,No,Orlando,2023-07-24 08:50:59,legit
21.0,448.0,41.0,39.0,241.0,UK,No,Orlando,2023-07-24 08:50:57,legit
19.0,613.0,23.0,62.0,399.0,RUS,No,Key West,2023-07-24 08:51:31,legit
32.0,447.0,34.0,71.0,150.0,RUS,Yes,Key West,2023-07-24 08:50:45,fraud
30.0,466.0,40.0,50.0,206.0,CAN,Yes,Orlando,2023-07-24 08:51:09,legit
30.0,364.0,54.0,57.0,259.0,CAN,No,Orlando,2023-07-24 08:50:57,legit
25.0,401.0,44.0,45.0,326.0,RUS,Yes,Orlando,2023-07-24 08:50:39,legit
19.0,464.0,37.0,68.0,301.0,RUS,Yes,Tampa,2023-07-24 08:50:58,legit
25.0,526.0,33.0,45.0,266.0,CAN,Yes,Orlando,2023-07-24 08:50:45,legit
34.0,496.0,36.0,40.0,205.0,RUS,Yes,Jacksonville,2023-07-24 08:50:50,legit
32.0,521.0,33.0,37.0,205.0,CAN,Yes,Orlando,2023-07-24 08:51:00,legit
16.0,274.0,24.0,68.0,381.0,RUS,Yes,Tampa,2023-07-24 08:51:02,legit
